ID,Artist,Title,Medium,Links,Details,Size,Category,Owner,Location,Gallery,Status,Value.DRK,Value.FS,Value.Safeco,Acquired,ID.FS,ID.BK,Distributed
47,"Schwarz, David",Untitled,Blown Glass,,Glass Sphere,13 in,Fine Art,Cathy,Scottsdale,Foster/White Gallery,Divide,7800,"$4,900.00",7800,2002,111,47,2025
227,"Sedivy, Richard",Pitch Perfect,Oil and Acrylic on /Wood,,from Peter Blake Gallery,23.5x28.5,Fine Art,Cathy,Scottsdale,"Hunsaker/Schlesinger Fine Art, Santa Monica",Divide,7000,"$2,000.00",7000,,63,227,2025
104,"Snellman, Cynthia",Wolf,Mixed,,,,,,Scottsdale,Sun Valley Center,,850,,,,,104,
43,"Spyratos, Alexi",Giraffe,Acrylic,,,,Fine Art,Chris,Portland,Mt Kenya Art Gallery,Completed,1500,"$1,500.00",,1992,39,43,2021
72,"Stewart, Joel",Dragon Vase with Constellation,Watercolor,,,78x26,Fine Art,Cathy,Scottsdale,Artist,Divide,6200,"$2,500.00",6200,2006,30,72,2025
213,Strobline,Untitled,,,,19x26,Fine Art,Cathy,Portland,"Main Gallery, Boise, ID-59",Completed,,,,,114,213,2021
FS148,"Swanson, Ray",Can we be friends,,,Edition 5 of 50,36x40,Fine Art,Cathy,Scottsdale,,Divide,,,,,148,,2025
45,"Tahbo, Mark",Kachina Mask Bowl,Pottery,,Hopi,7x3 1/2,Fine Art,Kevin,Scottsdale,King (Scottsdale),Divide,1215,"$1,215.00",,1998,47,45,2025
224,Takahara,Plate and Bowl,Ceramic,,Matching Bowl and Plate,,Fine Art,Bill,Portland,,Completed,,,,,64,224,2021
220,"Tobiasse, Theo",Man Who Walks on the Ramparts,Lithograph,https://www.renjeau.com/artist/tobiasse-theo/," In French says ""those who walk on the jars of a thousand"" (#220).  Found print on ebay selling for $400.",,Fine Art,Bill,Portland,,Completed,,"$3,500.00",,1995,19,220,2021
216,Unknown,Steel yard sculpture,Steel,,"Very heavy steel sculpture, very weathered","38-40"" tall",Fine Art,Kevin,Portland,,Completed,,,,,84,216,2021
218,Unknown,Bronze horse,Bronze,,Hollow,18 high,Fine Art,Bill,Portland,,Completed,,,,,15,218,2021
58,"Wilde, Stephani",Angels With Golden Pears,Mixed,,,,,,Portland,Stewart Gallery,,3200,,,,,58,
57,"Witkin, Isaac",Hawthorne Tree III,Bronze,https://en.wikipedia.org/wiki/Isaac_Witkin,,18 in,Fine Art,Jean,Scottsdale,Witkin,Divide,11500,"$4,300.00",11500,2002,42,57,2025
203,"Wood, Karen",Untitled,Acrylic,,,6x6,Fine Art,Jean,Portland,Childrens Museum,Completed,,,,,103,203,2021
63,"Woodward, Joeseph",Totem,Ceramic,,,5.0 ft,Fine Art,,Scottsdale,Woodward,Stays,1600,"$1,600.00",,2003,94,63,
49,"Zapponi, Michael",Abstract School,Metal Sculpture,,"Metal Sculpture, Four six ft pieces with mounting brackets and one 3 ft piece with wire for hanging.  Divided among Kevin and Bill.

Acquired from Zapponi Commission",2.5 ftx6.0 ft,Fine Art,Bill,Scottsdale,Zapponi Commission -- 7 or 8 fish?  Bill has 2,Completed,10000,"$4,000.00",4000,2000,2,49,2021
FS150,,Glazed metal vessel,,,"Found a receipt from Scottsdale Art show for ""relic vessel copper"".  Purchased for $2800",50” x 17” wide,Fine Art,Bill,Scottsdale,,Divide,,"$1,400.00",,,150,,2025
FS113,,Chinese Mural,,,,55x18,Fine Art,Chris,Portland,,Completed,,,,,113,,2021
FS115,,Four Fishes,Print,,,,Fine Art,Chris,Portland,,Completed,,,,,115,,2021
FS118,,Ceramic Jar with Cover,Ceramic,,,12 x 8 x 8,Fine Art,Bill,Portland,,Completed,,,,,118,,2021
FS120,,Ceramic Vase,Ceramic,,,14”,Fine Art,,Portland,,Completed,,,,,120,,
FS124,,Glazed Metal Salamander,Glazed Metal,,,19x14x5,Fine Art,Bill,Portland,,Completed,,,,,124,,2021
FS138,,Unidentified Print or Acrylic,,,,,Fine Art,Kevin,Portland,,Completed,,,,,138,,2021
